"COD","DESIGNATION","DISTRICT","REGION"
101,"Águeda",1,2
102,"Albergaria-a-Velha",1,2
103,"Anadia",1,2
104,"Arouca",1,1
105,"Aveiro",1,2
106,"Castelo de Paiva",1,1
107,"Espinho",1,1
108,"Estarreja",1,2
109,"Santa Maria da Feira",1,1
110,"Ílhavo",1,2
111,"Mealhada",1,2
112,"Murtosa",1,2
113,"Oliveira de Azemeis",1,1
114,"Oliveira do Bairro",1,2
115,"Ovar",1,2
116,"São João da Madeira",1,1
117,"Sever do Vouga",1,2
118,"Vagos",1,2
119,"Vale de Cambra",1,1
201,"Aljustrel",2,4
202,"Almodovar",2,4
203,"Alvito",2,4
204,"Barrancos",2,4
205,"Beja",2,4
206,"Castro Verde",2,4
207,"Cuba",2,4
208,"Ferreira do Alentejo",2,4
209,"Mértola",2,4
210,"Moura",2,4
211,"Odemira",2,4
212,"Ourique",2,4
213,"Serpa",2,4
214,"Vidigueira",2,4
301,"Amares",3,1
302,"Barcelos",3,1
303,"Braga",3,1
304,"Cabeceiras de Basto",3,1
305,"Celorico de Basto",3,1
306,"Esposende",3,1
307,"Fafe",3,1
308,"Guimarães",3,1
309,"Póvoa de Lanhoso",3,1
310,"Terras de Bouro",3,1
311,"Vieira do Minho",3,1
312,"Vila Nova de Famalicão",3,1
313,"Vila Verde",3,1
314,"Vizela",3,1
409,"Torre de Moncorvo",4,1
401,"Alfandega da Fé",4,1
402,"Bragança",4,1
403,"Carrazeda de Ansiães",4,1
404,"Freixo Espada a Cinta",4,1
405,"Macedo de Cavaleiros",4,1
406,"Miranda do Douro",4,1
407,"Mirandela",4,1
408,"Mogadouro",4,1
410,"Vila Flor",4,1
411,"Vimioso",4,1
412,"Vinhais",4,1
510,"Vila de Rei",5,2
505,"Idanha-a-Nova",5,2
501,"Belmonte",5,2
502,"Castelo Branco",5,2
503,"Covilhã",5,2
504,"Fundão",5,2
506,"Oleiros",5,2
507,"Penamacor",5,2
508,"Proença-a-Nova",5,2
509,"Sertã",5,2
511,"Vila Velha de Rodão",5,2
606,"Góis",6,2
607,"Lousã",6,2
608,"Mira",6,2
609,"Miranda do Corvo",6,2
610,"Montemor-o-Velho",6,2
611,"Oliveira do Hospital",6,2
612,"Pampilhosa da Serra",6,2
613,"Penacova",6,2
614,"Penela",6,2
615,"Soure",6,2
616,"Tábua",6,2
617,"Vila Nova de Poiares",6,2
605,"Figueira da Foz",6,2
602,"Cantanhede",6,2
603,"Coimbra",6,2
604,"Condeixa-a-Nova",6,2
601,"Arganil",6,2
701,"Alandroal",7,4
702,"Arraiolos",7,4
703,"Borba",7,4
704,"Estremoz",7,4
705,"Évora",7,4
707,"Mora",7,4
708,"Mourão",7,4
709,"Portel",7,4
710,"Redondo",7,4
711,"Reguengos de Monsaraz",7,4
712,"Vendas Novas",7,4
706,"Montemor-o-Novo",7,4
713,"Viana do Alentejo",7,4
714,"Vila Viçosa",7,4
801,"Albufeira",8,5
802,"Alcoutim",8,5
803,"Aljezur",8,5
804,"Castro Marim",8,5
805,"Faro",8,5
806,"Lagoa",8,5
807,"Lagos",8,5
808,"Loulé",8,5
809,"Monchique",8,5
810,"Olhão",8,5
811,"Portimão",8,5
812,"São Brás de Alportel",8,5
813,"Silves",8,5
814,"Tavira",8,5
815,"Vila do Bispo",8,5
816,"Vila Real Sto Antonio",8,5
901,"Aguiar da Beira",9,2
902,"Almeida",9,2
903,"Celorico da Beira",9,2
904,"Fig. Castelo Rodrigo",9,2
905,"Fornos de Algodres",9,2
906,"Gouveia",9,2
907,"Guarda",9,2
908,"Manteigas",9,2
909,"Meda",9,2
910,"Pinhel",9,2
911,"Sabugal",9,2
912,"Seia",9,2
913,"Trancoso",9,2
914,"Vila Nova de Foz Coa",9,1
1003,"Ansião",10,2
1004,"Batalha",10,2
1005,"Bombarral",10,2
1006,"Caldas da Rainha",10,2
1007,"Castanheira de Pera",10,2
1008,"Figueiró dos Vinhos",10,2
1009,"Leiria",10,2
1010,"Marinha Grande",10,2
1011,"Nazaré",10,2
1012,"Óbidos",10,2
1014,"Peniche",10,2
1015,"Pombal",10,2
1016,"Porto de Mós",10,2
1013,"Pedrogão Grande",10,2
1001,"Alcobaça",10,2
1002,"Alvaiázere",10,2
1101,"Alenquer",11,2
1102,"Arruda dos Vinhos",11,2
1103,"Azambuja",11,4
1104,"Cadaval",11,2
1105,"Cascais",11,3
1106,"Lisboa",11,3
1107,"Loures",11,3
1108,"Lourinhã",11,2
1109,"Mafra",11,3
1110,"Oeiras",11,3
1111,"Sintra",11,3
1112,"Sobral de Monte Agraço",11,2
1113,"Torres Vedras",11,2
1114,"Vila Franca de Xira",11,3
1115,"Amadora",11,3
1116,"Odivelas",11,3
1201,"Alter do Chão",12,4
1202,"Arronches",12,4
1203,"Avis",12,4
1204,"Campo Maior",12,4
1205,"Castelo de Vide",12,4
1206,"Crato",12,4
1207,"Elvas",12,4
1208,"Fronteira",12,4
1209,"Gavião",12,4
1210,"Marvão",12,4
1211,"Monforte",12,4
1212,"Nisa",12,4
1213,"Ponte de Sor",12,4
1214,"Portalegre",12,4
1215,"Sousel",12,4
1301,"Amarante",13,1
1302,"Baião",13,1
1303,"Felgueiras",13,1
1304,"Gondomar",13,1
1305,"Lousada",13,1
1306,"Maia",13,1
1307,"Marco de Canaveses",13,1
1308,"Matosinhos",13,1
1309,"Paços de Ferreira",13,1
1310,"Paredes",13,1
1311,"Penafiel",13,1
1312,"Porto",13,1
1313,"Póvoa de Varzim",13,1
1314,"Santo Tirso",13,1
1315,"Valongo",13,1
1316,"Vila do Conde",13,1
1317,"Vila Nova de Gaia",13,1
1318,"Trofa",13,1
1420,"Vila Nova da Barquinha",14,2
1421,"Ourém",14,2
1401,"Abrantes",14,2
1402,"Alcanena",14,2
1403,"Almeirim",14,4
1404,"Alpiarça",14,4
1405,"Benavente",14,4
1406,"Cartaxo",14,4
1407,"Chamusca",14,4
1408,"Constancia",14,2
1409,"Coruche",14,4
1410,"Entroncamento",14,2
1411,"Ferreira do Zezere",14,2
1412,"Golegã",14,4
1413,"Mação",14,2
1414,"Rio Maior",14,4
1415,"Salvaterra de Magos",14,4
1416,"Santarém",14,4
1417,"Sardoal",14,2
1418,"Tomar",14,2
1419,"Torres Novas",14,2
1501,"Alcácer do Sal",15,4
1502,"Alcochete",15,3
1503,"Almada",15,3
1504,"Barreiro",15,3
1505,"Grandola",15,4
1506,"Moita",15,3
1507,"Montijo",15,3
1508,"Palmela",15,3
1510,"Seixal",15,3
1511,"Sesimbra",15,3
1512,"Setúbal",15,3
1513,"Sines",15,4
1509,"Santiago do Cacém",15,4
1601,"Arcos de Valdevez",16,1
1602,"Caminha",16,1
1603,"Melgaço",16,1
1604,"Monção",16,1
1605,"Paredes de Coura",16,1
1606,"Ponte da Barca",16,1
1607,"Ponte de Lima",16,1
1608,"Valença",16,1
1609,"Viana do Castelo",16,1
1610,"Vila Nova de Cerveira",16,1
1701,"Alijó",17,1
1702,"Boticas",17,1
1703,"Chaves",17,1
1704,"Mesão Frio",17,1
1705,"Mondim de Basto",17,1
1706,"Montalegre",17,1
1707,"Murça",17,1
1708,"Peso da Régua",17,1
1709,"Ribeira de Pena",17,1
1710,"Sabrosa",17,1
1711,"Sta Marta de Penaguião",17,1
1712,"Valpaços",17,1
1713,"Vila Pouca de Aguiar",17,1
1714,"Vila Real",17,1
1801,"Armamar",18,1
1802,"Carregal do Sal",18,2
1803,"Castro Daire",18,2
1804,"Cinfães",18,1
1805,"Lamego",18,1
1806,"Mangualde",18,2
1807,"Moimenta da Beira",18,1
1808,"Mortágua",18,2
1809,"Nelas",18,2
1810,"Oliveira de Frades",18,2
1811,"Penalva do Castelo",18,2
1812,"Penedono",18,1
1813,"Resende",18,1
1814,"Santa Comba Dão",18,2
1815,"São João da Pesqueira",18,1
1816,"São Pedro do Sul",18,2
1817,"Satão",18,2
1818,"Sernancelhe",18,1
1819,"Tabuaço",18,1
1820,"Tarouca",18,1
1821,"Tondela",18,2
1822,"Vila Nova de Paiva",18,2
1823,"Viseu",18,2
1824,"Vouzela",18,2
4101,"Vila do Porto",40,6
4201,"Lagoa",40,6
4202,"Nordeste",40,6
4203,"Ponta Delgada",40,6
4204,"Povoação",40,6
4205,"Ribeira Grande",40,6
4206,"Vila Franca do Campo",40,6
4301,"Angra do Heroismo",40,6
4302,"Praia da Vitória",40,6
4401,"Santa Cruz da Graciosa",40,6
4501,"Calheta",40,6
4502,"Velas",40,6
4601,"Lajes do Pico",40,6
4602,"Madalena",40,6
4603,"São Roque do Pico",40,6
4701,"Horta",40,6
4801,"Lajes das Flores",40,6
4802,"Santa Cruz das Flores",40,6
4901,"Corvo",40,6
3108,"Santa Cruz",30,7
3109,"Santana",30,7
3110,"São Vicente",30,7
3201,"Porto Santo",30,7
3101,"Calheta",30,7
3102,"Câmara de Lobos",30,7
3103,"Funchal",30,7
3104,"Machico",30,7
3105,"Ponta do Sol",30,7
3106,"Porto Moniz",30,7
3107,"Ribeira Brava",30,7
